"Groningen";25
"Friesland";26
"Drenthe";20
"Overijssel";65
"Flevoland";10
"Gelderland";83
"Utrecht";40
"Noord-Holland";81
"Zuid-Holland";97
"Zeeland";22
"Noord-Brabant";98
"Limburg";46
